CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Email,Phone
0044,Female,31,39,61,customer44@mall.com,+1-555-1043
0045,Female,49,39,28,customer45@mall.com,+1-555-1044
0046,Female,24,39,65,customer46@mall.com,+1-555-1045
0047,Female,50,40,55,customer47@mall.com,+1-555-1046
0048,Female,27,40,47,customer48@mall.com,+1-555-1047
0049,Female,29,40,42,customer49@mall.com,+1-555-1048
0050,Female,31,40,42,customer50@mall.com,+1-555-1049
0051,Female,49,42,52,customer51@mall.com,+1-555-1050
0052,Male,33,42,60,customer52@mall.com,+1-555-1051
0053,Female,31,43,54,customer53@mall.com,+1-555-1052
0054,Male,59,43,60,customer54@mall.com,+1-555-1053
0055,Female,50,43,45,customer55@mall.com,+1-555-1054
0056,Male,47,43,41,customer56@mall.com,+1-555-1055
0057,Female,51,44,50,customer57@mall.com,+1-555-1056
0058,Male,69,44,46,customer58@mall.com,+1-555-1057
0059,Female,27,46,51,customer59@mall.com,+1-555-1058
0060,Male,53,46,46,customer60@mall.com,+1-555-1059
0061,Male,70,46,56,customer61@mall.com,+1-555-1060
0062,Male,19,46,55,customer62@mall.com,+1-555-1061
0063,Female,67,47,52,customer63@mall.com,+1-555-1062
0064,Female,54,47,59,customer64@mall.com,+1-555-1063
0065,Male,63,48,51,customer65@mall.com,+1-555-1064
0066,Male,18,48,59,customer66@mall.com,+1-555-1065
0067,Female,43,48,50,customer67@mall.com,+1-555-1066
0068,Female,68,48,48,customer68@mall.com,+1-555-1067
0069,Male,19,48,59,customer69@mall.com,+1-555-1068
0070,Female,32,48,47,customer70@mall.com,+1-555-1069
0071,Male,70,49,55,customer71@mall.com,+1-555-1070
0072,Female,47,49,42,customer72@mall.com,+1-555-1071
0073,Female,60,50,49,customer73@mall.com,+1-555-1072
0074,Female,60,50,56,customer74@mall.com,+1-555-1073
0075,Male,59,54,47,customer75@mall.com,+1-555-1074
0076,Male,26,54,54,customer76@mall.com,+1-555-1075
0077,Female,45,54,53,customer77@mall.com,+1-555-1076
0078,Male,40,54,48,customer78@mall.com,+1-555-1077
0079,Female,23,54,52,customer79@mall.com,+1-555-1078
0080,Female,49,54,42,customer80@mall.com,+1-555-1079
0081,Male,57,54,51,customer81@mall.com,+1-555-1080
0082,Male,38,54,55,customer82@mall.com,+1-555-1081
0083,Male,67,54,41,customer83@mall.com,+1-555-1082
0084,Female,46,54,44,customer84@mall.com,+1-555-1083
0085,Female,21,54,57,customer85@mall.com,+1-555-1084
0086,Male,48,54,46,customer86@mall.com,+1-555-1085
0087,Female,55,57,58,customer87@mall.com,+1-555-1086
0088,Female,22,57,55,customer88@mall.com,+1-555-1087
0089,Female,34,58,60,customer89@mall.com,+1-555-1088
0090,Female,50,58,46,customer90@mall.com,+1-555-1089
0091,Female,68,59,55,customer91@mall.com,+1-555-1090
0092,Male,18,59,41,customer92@mall.com,+1-555-1091
0093,Male,48,60,49,customer93@mall.com,+1-555-1092
0094,Female,40,60,40,customer94@mall.com,+1-555-1093
0095,Female,32,60,42,customer95@mall.com,+1-555-1094
0096,Male,24,60,52,customer96@mall.com,+1-555-1095
0097,Female,47,60,47,customer97@mall.com,+1-555-1096
0098,Female,27,60,50,customer98@mall.com,+1-555-1097
0099,Male,48,61,42,customer99@mall.com,+1-555-1098
0100,Male,20,61,49,customer100@mall.com,+1-555-1099
0101,Female,23,62,41,customer101@mall.com,+1-555-1100
0102,Female,49,62,48,customer102@mall.com,+1-555-1101
0103,Male,67,62,59,customer103@mall.com,+1-555-1102
0104,Male,26,62,55,customer104@mall.com,+1-555-1103
0105,Male,49,62,56,customer105@mall.com,+1-555-1104
0106,Female,21,62,42,customer106@mall.com,+1-555-1105
0107,Female,66,63,50,customer107@mall.com,+1-555-1106
0108,Male,54,63,46,customer108@mall.com,+1-555-1107
0109,Male,68,63,43,customer109@mall.com,+1-555-1108
0110,Male,66,63,48,customer110@mall.com,+1-555-1109
0111,Male,65,63,52,customer111@mall.com,+1-555-1110
0112,Female,19,63,54,customer112@mall.com,+1-555-1111
0113,Female,38,64,42,customer113@mall.com,+1-555-1112
0114,Male,19,64,46,customer114@mall.com,+1-555-1113
0115,Female,18,65,48,customer115@mall.com,+1-555-1114
0116,Female,19,65,50,customer116@mall.com,+1-555-1115
0117,Female,63,65,43,customer117@mall.com,+1-555-1116
0118,Female,49,65,59,customer118@mall.com,+1-555-1117
0119,Female,51,67,43,customer119@mall.com,+1-555-1118
0120,Female,50,67,57,customer120@mall.com,+1-555-1119
0121,Male,27,67,56,customer121@mall.com,+1-555-1120
0122,Female,38,67,40,customer122@mall.com,+1-555-1121
0123,Female,40,69,58,customer123@mall.com,+1-555-1122
0124,Male,39,69,91,customer124@mall.com,+1-555-1123
0125,Female,23,70,29,customer125@mall.com,+1-555-1124
0126,Female,31,70,77,customer126@mall.com,+1-555-1125
0127,Male,43,71,35,customer127@mall.com,+1-555-1126
0128,Male,40,71,95,customer128@mall.com,+1-555-1127
0129,Male,59,71,11,customer129@mall.com,+1-555-1128
0130,Male,38,71,75,customer130@mall.com,+1-555-1129
0131,Male,47,71,9,customer131@mall.com,+1-555-1130
0132,Male,39,71,75,customer132@mall.com,+1-555-1131
0133,Female,25,72,34,customer133@mall.com,+1-555-1132
0134,Female,31,72,71,customer134@mall.com,+1-555-1133
0135,Male,20,73,5,customer135@mall.com,+1-555-1134
0136,Female,29,73,88,customer136@mall.com,+1-555-1135
0137,Female,44,73,7,customer137@mall.com,+1-555-1136
0138,Male,32,73,73,customer138@mall.com,+1-555-1137
0139,Male,19,74,10,customer139@mall.com,+1-555-1138
0140,Female,35,74,72,customer140@mall.com,+1-555-1139
0141,Female,57,75,5,customer141@mall.com,+1-555-1140
0142,Male,32,75,93,customer142@mall.com,+1-555-1141
0143,Female,28,76,40,customer143@mall.com,+1-555-1142
0144,Female,32,76,87,customer144@mall.com,+1-555-1143
0145,Male,25,77,12,customer145@mall.com,+1-555-1144
0146,Male,28,77,97,customer146@mall.com,+1-555-1145
0147,Male,48,77,36,customer147@mall.com,+1-555-1146
0148,Female,32,77,74,customer148@mall.com,+1-555-1147
0149,Female,34,78,22,customer149@mall.com,+1-555-1148
0150,Male,34,78,90,customer150@mall.com,+1-555-1149
0151,Male,43,78,17,customer151@mall.com,+1-555-1150
0152,Male,39,78,88,customer152@mall.com,+1-555-1151
0153,Female,44,78,20,customer153@mall.com,+1-555-1152
0154,Female,38,78,76,customer154@mall.com,+1-555-1153
0155,Female,47,78,16,customer155@mall.com,+1-555-1154
0156,Female,27,78,89,customer156@mall.com,+1-555-1155
0157,Male,37,78,1,customer157@mall.com,+1-555-1156
0158,Female,30,78,78,customer158@mall.com,+1-555-1157
0159,Male,34,78,1,customer159@mall.com,+1-555-1158
0160,Female,30,78,73,customer160@mall.com,+1-555-1159
0161,Female,56,79,35,customer161@mall.com,+1-555-1160
0162,Female,29,79,83,customer162@mall.com,+1-555-1161
0163,Male,19,81,5,customer163@mall.com,+1-555-1162
0164,Female,31,81,93,customer164@mall.com,+1-555-1163
0165,Male,50,85,26,customer165@mall.com,+1-555-1164
0166,Female,36,85,75,customer166@mall.com,+1-555-1165
0167,Male,42,86,20,customer167@mall.com,+1-555-1166
0168,Female,33,86,95,customer168@mall.com,+1-555-1167
0169,Female,36,87,27,customer169@mall.com,+1-555-1168
0170,Male,32,87,63,customer170@mall.com,+1-555-1169
0171,Male,40,87,13,customer171@mall.com,+1-555-1170
0172,Male,28,87,75,customer172@mall.com,+1-555-1171
0173,Male,36,87,10,customer173@mall.com,+1-555-1172
0174,Male,36,87,92,customer174@mall.com,+1-555-1173
0175,Female,52,88,13,customer175@mall.com,+1-555-1174
0176,Female,30,88,86,customer176@mall.com,+1-555-1175
0177,Male,58,88,15,customer177@mall.com,+1-555-1176
0178,Male,27,88,69,customer178@mall.com,+1-555-1177
0179,Male,59,93,14,customer179@mall.com,+1-555-1178
0180,Male,35,93,90,customer180@mall.com,+1-555-1179
0181,Female,37,97,32,customer181@mall.com,+1-555-1180
0182,Female,32,97,86,customer182@mall.com,+1-555-1181
0183,Male,46,98,15,customer183@mall.com,+1-555-1182
0184,Female,29,98,88,customer184@mall.com,+1-555-1183
0185,Female,41,99,39,customer185@mall.com,+1-555-1184
0186,Male,30,99,97,customer186@mall.com,+1-555-1185
0187,Female,54,101,24,customer187@mall.com,+1-555-1186
0188,Male,28,101,68,customer188@mall.com,+1-555-1187
0189,Female,41,103,17,customer189@mall.com,+1-555-1188
0190,Female,36,103,85,customer190@mall.com,+1-555-1189
0191,Female,34,103,23,customer191@mall.com,+1-555-1190
0192,Female,32,103,69,customer192@mall.com,+1-555-1191
0193,Male,33,113,8,customer193@mall.com,+1-555-1192
0194,Female,38,113,91,customer194@mall.com,+1-555-1193
0195,Female,47,120,16,customer195@mall.com,+1-555-1194
0196,Female,35,120,79,customer196@mall.com,+1-555-1195
0197,Female,45,126,28,customer197@mall.com,+1-555-1196
0198,Male,32,126,74,customer198@mall.com,+1-555-1197
0199,Male,32,137,18,customer199@mall.com,+1-555-1198
0200,Male,30,137,83,customer200@mall.com,+1-555-1199
